endpoint,samples,status_mode,min_s,max_s,avg_s,p95_s,ok_count,err_count
/,7,200,0.000731,0.001668,0.001050,0.001668,7,0
/clearcache,7,200,0.000571,0.000832,0.000699,0.000832,7,0
/forms,7,200,0.003147,0.007449,0.003898,0.007449,7,0
/forms/655d1d52e88893fbf20e6e00,7,200,0.001284,0.415328,0.060647,0.415328,7,0
/centros,7,200,0.003843,0.004812,0.004108,0.004812,7,0
/centros/61b0babc71572500128b8602,7,200,0.133127,0.137415,0.134453,0.137415,7,0
/centros/61b0babc71572500128b8602/summaries,7,200,0.137008,0.140741,0.138776,0.140741,7,0
/answers,7,200,9.575734,9.668849,9.626408,9.668849,7,0
/answers/61df43d1df23b90014a945a3,7,200,0.132805,0.174806,0.139366,0.174806,7,0
/pessoas,7,200,0.000723,0.001244,0.000885,0.001244,7,0
/pessoas/61e2dde9b5d3a100130515c3,7,200,0.133064,0.135555,0.133800,0.135555,7,0
/regionais,7,200,0.000782,0.001175,0.000886,0.001175,7,0
/regionais/overview?dateFrom=2024-01-01&dateTo=2026-12-31,7,200,0.217713,0.220800,0.219024,0.220800,7,0
/regionais/61b0ba7a71572500128b85dc,7,200,0.132711,0.136144,0.133654,0.136144,7,0
/regionais/61b0ba7a71572500128b85dc/summaries?dateFrom=2024-01-01&dateTo=2026-12-31,7,200,0.997792,1.417274,1.191719,1.417274,7,0
/regionais/61b0ba7a71572500128b85dc/centros,7,200,0.001098,0.001333,0.001192,0.001333,7,0
/regionais/61b0ba7a71572500128b85dc/coord-summary?dateFrom=2024-01-01&dateTo=2026-12-31,7,200,1.089021,1.259333,1.140227,1.259333,7,0
/regionais/61b0ba7a71572500128b85dc/centros-with-answers?dateFrom=2024-01-01&dateTo=2026-12-31&include=answers,summaries&limitSummaries=3,7,200,1.661106,2.080990,1.741481,2.080990,7,0
/passes,7,200,0.002257,0.003275,0.002512,0.003275,7,0
/passes/61df43d3df23b90014a94681,7,200,0.133245,0.138839,0.134935,0.138839,7,0
/summaries?dateFrom=2024-01-01&dateTo=2026-12-31,7,200,2.038567,2.425396,2.256530,2.425396,7,0
/summaries/stats?dateFrom=2024-01-01&dateTo=2026-12-31,7,200,0.405596,0.419078,0.408529,0.419078,7,0
/summaries/6987150abe75240e4f2da379,7,200,0.135527,0.139223,0.136841,0.139223,7,0
/questions,7,200,0.001236,0.002169,0.001473,0.002169,7,0
/questions/61df432fdf23b90014a944a2,7,200,0.133307,0.134198,0.133630,0.134198,7,0
