endpoint,samples,status_mode,min_s,max_s,avg_s,p95_s,ok_count,err_count
/,5,200,0.000726,0.001192,0.000847,0.001192,5,0
/clearcache,5,200,0.000596,0.000753,0.000659,0.000753,5,0
/forms,5,200,0.000745,0.000948,0.000881,0.000948,5,0
/forms/000000000000000000000000,5,404,0.000790,0.001989,0.001077,0.001989,0,5
/centros,5,200,0.000794,0.000869,0.000830,0.000869,5,0
/centros/000000000000000000000000,5,404,0.000834,0.001045,0.000932,0.001045,0,5
/centros/000000000000000000000000/summaries,5,200,0.000741,0.000891,0.000810,0.000891,5,0
/answers,5,200,0.000733,0.000926,0.000820,0.000926,5,0
/answers/000000000000000000000000,5,404,0.000780,0.001099,0.000884,0.001099,0,5
/pessoas,5,200,0.000672,0.000932,0.000832,0.000932,5,0
/pessoas/000000000000000000000000,5,404,0.000733,0.001018,0.000845,0.001018,0,5
/regionais,5,200,0.000708,0.000901,0.000793,0.000901,5,0
/regionais/overview,5,200,0.000846,0.001016,0.000911,0.001016,5,0
/regionais/000000000000000000000000,5,404,0.000728,0.001509,0.000951,0.001509,0,5
/regionais/000000000000000000000000/summaries,5,200,0.000831,0.000974,0.000910,0.000974,5,0
/regionais/000000000000000000000000/centros,5,200,0.000747,0.000985,0.000856,0.000985,5,0
/regionais/000000000000000000000000/coord-summary,5,404,0.000844,0.001230,0.000959,0.001230,0,5
/regionais/000000000000000000000000/centros-with-answers,5,200,0.000719,0.001061,0.000825,0.001061,5,0
/passes,5,200,0.000748,0.001096,0.000864,0.001096,5,0
/passes/000000000000000000000000,5,404,0.000682,0.001018,0.000822,0.001018,0,5
/summaries,5,200,0.000680,0.000947,0.000771,0.000947,5,0
/summaries/stats,5,400,0.000939,0.001584,0.001158,0.001584,0,5
/summaries/000000000000000000000000,5,404,0.000783,0.001038,0.000877,0.001038,0,5
/questions,5,200,0.000729,0.000977,0.000819,0.000977,5,0
/questions/000000000000000000000000,5,404,0.000692,0.000959,0.000832,0.000959,0,5
